rank,title,score,url,thumbnail
1,Sousou no Frieren,9.29,https://myanimelist.net/anime/52991/Sousou_no_Frieren,https://cdn.myanimelist.net/r/50x70/images/anime/1015/138006.jpg?s=09c2f2dec5891d8e8fbb9fa3b23c75b4
2,Chainsaw Man Movie: Reze-hen,9.14,https://myanimelist.net/anime/57555/Chainsaw_Man_Movie__Reze-hen,https://cdn.myanimelist.net/r/50x70/images/anime/1763/150638.jpg?s=cd96c9788488c258e7f749a9d208989e
3,Fullmetal Alchemist: Brotherhood,9.1,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://cdn.myanimelist.net/r/50x70/images/anime/1208/94745.jpg?s=7892d01b6c74f1bf945f7a3ff3bb1f6a
4,Steins;Gate,9.07,https://myanimelist.net/anime/9253/Steins_Gate,https://cdn.myanimelist.net/r/50x70/images/anime/1935/127974.jpg?s=cd8506e6d26bad48a78aa985477a55ca
5,Shingeki no Kyojin Season 3 Part 2,9.05,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,https://cdn.myanimelist.net/r/50x70/images/anime/1517/100633.jpg?s=4540a01b5883647ade494cd28392f100
6,Gintama: The Final,9.05,https://myanimelist.net/anime/39486/Gintama__The_Final,https://cdn.myanimelist.net/r/50x70/images/anime/1245/116760.jpg?s=8f52d6ff46ef1233eb9fcd542434221c
7,Gintama°,9.05,https://myanimelist.net/anime/28977/Gintama°,https://cdn.myanimelist.net/r/50x70/images/anime/3/72078.jpg?s=e9537ac90c08758594c787ede117f209
8,Kingdom 6th Season,9.04,https://myanimelist.net/anime/61517/Kingdom_6th_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1282/151476.jpg?s=9edc1b669ac8f5f7b44ab5350246c86e
9,Hunter x Hunter (2011),9.03,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,https://cdn.myanimelist.net/r/50x70/images/anime/1337/99013.jpg?s=1838e905a0aa3542a009fbcf78000701
10,Ginga Eiyuu Densetsu,9.02,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,https://cdn.myanimelist.net/r/50x70/images/anime/1976/142016.jpg?s=61077c56c2830f4a2b12a177746c1d12
11,Gintama',9.02,https://myanimelist.net/anime/9969/Gintama,https://cdn.myanimelist.net/r/50x70/images/anime/4/50361.jpg?s=b3a061db8c3d42a055d58f9df1f3dac7
12,Gintama': Enchousen,9.02,https://myanimelist.net/anime/15417/Gintama__Enchousen,https://cdn.myanimelist.net/r/50x70/images/anime/1452/123686.jpg?s=9691ed28cdfeb56ce6881faf2adbf01e
13,One Piece Fan Letter,9.02,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,https://cdn.myanimelist.net/r/50x70/images/anime/1455/146229.jpg?s=229b4cd0d3b3c59fa37141dfa185798b
14,Bleach: Sennen Kessen-hen,8.99,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,https://cdn.myanimelist.net/r/50x70/images/anime/1908/135431.jpg?s=90ea032d3ed39b3093ec6b6dc6be844f
15,Gintama.,8.98,https://myanimelist.net/anime/34096/Gintama,https://cdn.myanimelist.net/r/50x70/images/anime/3/83528.jpg?s=948f092dd55fb2572f38a0e21f03b642
16,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,https://cdn.myanimelist.net/r/50x70/images/anime/1160/122627.jpg?s=9b41450e9598d10c97fb4eeb7cca3737
17,Fruits Basket: The Final,8.94,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,https://cdn.myanimelist.net/r/50x70/images/anime/1085/114792.jpg?s=bb4303c0804c9d5ca9fcb30b8f8e6783
18,Clannad: After Story,8.93,https://myanimelist.net/anime/4181/Clannad__After_Story,https://cdn.myanimelist.net/r/50x70/images/anime/1299/110774.jpg?s=fcd9db2cfd72c10a2278f483173cfff9
19,Gintama,8.93,https://myanimelist.net/anime/918/Gintama,https://cdn.myanimelist.net/r/50x70/images/anime/10/73274.jpg?s=ed42453c10ba12b03b1600d02725a174
20,Koe no Katachi,8.93,https://myanimelist.net/anime/28851/Koe_no_Katachi,https://cdn.myanimelist.net/r/50x70/images/anime/1122/96435.jpg?s=56d2750d600af93a5d326daec7748cae
21,Kusuriya no Hitorigoto 2nd Season,8.91,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1025/147458.jpg?s=e2679358762090e8cc8ce53c2e537422
