title,url,img,score,rank,popularity,watching,completed,on_hold,dropped,plan_to_watch,members,favorites,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,Source,genres,demographic,duration,rating
Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,https://cdn.myanimelist.net/images/anime/1015/138006.jpg,9.291,1,120,223506,816061,25840,17421,200615,1283443,80478,TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024",Fall 2023,Fridays at 23,"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan",Crunchyroll,Madhouse,Manga,"Adventure, Drama, Fantasy",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Chainsaw Man Movie: Reze-hen,https://myanimelist.net/anime/57555/Chainsaw_Man_Movie__Reze-hen,https://cdn.myanimelist.net/images/anime/1763/150638.jpg,9.141,2,836,8276,201182,1257,293,114563,325571,9239,Movie,1,Finished Airing,"Sep 19, 2025",,,"None found, add some","None found, add some",MAPPA,Manga,"Action, Fantasy",Shounen,1 hr. 39 min.,R - 17+ (violence & profanity)
Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://cdn.myanimelist.net/images/anime/1208/94745.jpg,9.101,3,3,281402,2610786,119454,64087,534774,3610503,238771,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17,"Aniplex, Square Enix, Mainichi Broadcasting System, Techno Sound","Funimation, Aniplex of America",Bones,Manga,"Action, Adventure, Drama, Fantasy",Shounen,24 min. per ep.,R - 17+ (violence & profanity)
Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,https://cdn.myanimelist.net/images/anime/1935/127974.jpg,9.071,4,14,182045,1730415,94228,60909,693536,2761133,199608,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,Wednesdays at 02,"Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",,24 min. per ep.,PG-13 - Teens 13 or older
Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,https://cdn.myanimelist.net/images/anime/1517/100633.jpg,9.051,5,21,86877,2286973,10071,8663,134993,2527577,62313,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,Mondays at 00,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action, Drama, Suspense",Shounen,23 min. per ep.,R - 17+ (violence & profanity)
Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,https://cdn.myanimelist.net/images/anime/1245/116760.jpg,9.051,6,1512,9252,99233,1924,1789,65544,177742,4594,Movie,1,Finished Airing,"Jan 8, 2021",,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Eleven Arts,Bandai Namco Pictures,Manga,"Action, Comedy, Drama, Sci-Fi",Shounen,1 hr. 44 min.,PG-13 - Teens 13 or older
Gintama°,https://myanimelist.net/anime/28977/Gintama°,https://cdn.myanimelist.net/images/anime/3/72078.jpg,9.051,7,347,74799,288037,26232,20409,271651,681128,17372,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,Wednesdays at 18,"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Kingdom 6th Season,https://myanimelist.net/anime/61517/Kingdom_6th_Season,https://cdn.myanimelist.net/images/anime/1282/151476.jpg,9.041,8,4687,13634,11,358,214,13813,28030,381,TV,13,Currently Airing,"Oct 5, 2025 to Dec 28, 2025",Fall 2025,Sundays at 00,"Avex Pictures, Shueisha, NHK Enterprises","None found, add some","Studio Pierrot, Studio Signpost",Manga,,Seinen,24 min. per ep.,R - 17+ (violence & profanity)
Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,https://cdn.myanimelist.net/images/anime/1337/99013.jpg,9.031,9,8,378513,2136809,149738,67672,383040,3115772,225904,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10,"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,"Action, Adventure, Fantasy",Shounen,23 min. per ep.,PG-13 - Teens 13 or older
Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,https://cdn.myanimelist.net/images/anime/1976/142016.jpg,9.021,10,753,38774,80447,21253,9457,204749,354680,17509,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",,,"TV Tokyo, Kitty Films, Tokuma Shoten, Tokuma Japan Communications, Wright Staff",Sentai Filmworks,"K-Factory, Kitty Film Mitaka Studio",Novel,"Drama, Sci-Fi",,26 min. per ep.,R - 17+ (violence & profanity)
Gintama',https://myanimelist.net/anime/9969/Gintama,https://cdn.myanimelist.net/images/anime/4/50361.jpg,9.021,11,406,46899,300916,17907,12214,225140,603076,8528,TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,Mondays at 18,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Shueisha","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,https://cdn.myanimelist.net/images/anime/1452/123686.jpg,9.021,12,757,14096,226760,4010,3280,104554,352700,3145,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,Thursdays at 18,"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
One Piece Fan Letter,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,https://cdn.myanimelist.net/images/anime/1455/146229.jpg,9.021,13,1864,5760,117502,402,738,12776,137178,2444,TV Special,1,Finished Airing,"Oct 20, 2024",,,"None found, add some","None found, add some",Toei Animation,Light novel,"Action, Adventure, Fantasy",Shounen,24 min.,PG-13 - Teens 13 or older
Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,https://cdn.myanimelist.net/images/anime/1908/135431.jpg,8.991,14,352,89718,418165,8623,5664,152501,674671,22805,TV,13,Finished Airing,"Oct 11, 2022 to Dec 27, 2022",Fall 2022,Tuesdays at 00,"TV Tokyo, Aniplex, Dentsu, Shueisha",VIZ Media,Studio Pierrot,Manga,"Action, Adventure, Supernatural",Shounen,24 min. per ep.,R - 17+ (violence & profanity)
Gintama.,https://myanimelist.net/anime/34096/Gintama,https://cdn.myanimelist.net/images/anime/3/83528.jpg,8.981,15,785,19237,199621,5179,3879,114919,342835,2810,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,Mondays at 01,"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
